assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
2,0,60,None,None,0,0.0,209289,None,,0,0,0,0,74.4,258,137,None,,0,3,2.5,None,0,0.55,0.31,0.80,0.45,0.25,2.71,1.51,0.14,Emile,0.0,488,187,5,2.8,0,16.7,316,146,22,False,53.8,334,148,161,,None,55,119,74,0,0,None,0,,209289.jpg,1.5,319,140,0,0,0.0,Smith Rowe,0.2,342,106,False,None,0,0.0,a,1,3,41.0,290,146,18,0,0,0,0,0.0,3.3,Smith Rowe,0
0,0,0,None,None,0,0,437626,None,,0,0,0,0,0.0,427,160,None,,0,2,1.5,None,0,0.00,0,0.00,0,0.00,0.00,0,0,Nuno,0.0,79,41,0,0,0,0.0,438,161,23,False,0.0,436,161,0,,None,40,563,179,0,0,None,0,,437626.jpg,0.0,442,162,0,0,0,Varela Tavares,0.3,332,115,False,None,0,0,a,1,3,0.0,412,159,0,0,0,0,0,0.0,0.0,Tavares,0
1,0,164,None,None,1,0.12,192895,None,,0,0,0,0,86.1,247,83,None,,0,2,2.5,None,0,0.43,0.05,0.81,0.09,0.38,10.90,1.27,0.04,Kieran,0.0,182,109,10,1.16,0,30.0,285,103,24,False,144.6,272,109,774,,None,45,359,84,0,0,None,0,,192895.jpg,1.4,322,118,0,0,0.0,Tierney,0.3,290,97,False,None,6,0.7,a,1,3,67.0,255,88,37,0,0,0,0,0.0,8.2,Tierney,0
1,0,173,None,None,2,0.28,223723,None,,0,0,0,0,86.6,246,82,None,,0,2,2.5,None,0,0.23,0.03,0.47,0.06,0.24,8.93,1.23,0.03,Takehiro,0.0,219,136,11,1.52,0,27.7,292,104,25,False,137.0,278,110,651,,None,45,396,111,0,0,None,0,,223723.jpg,1.5,311,116,0,0,0.0,Tomiyasu,0.2,356,130,False,None,6,0.83,a,1,3,55.0,265,96,32,0,0,0,0,0.0,7.1,Tomiyasu,2
13,8,494,None,None,8,0.32,116216,2,,0,0,0,0,711.4,28,22,None,,0,3,3.0,None,0,6.02,0.24,12.39,0.5,6.37,30.79,1.24,0.26,Leandro,0.0,549,226,38,1.53,8,225.2,22,15,26,False,666.0,52,23,2237,,None,70,30,17,0,0,None,0,,116216.jpg,4.3,30,13,0,0,0.0,Trossard,2.7,102,35,False,None,26,1.05,a,1,3,875.0,22,13,154,0,0,0,0,0.0,22.0,Trossard,1
0,0,0,None,None,0,0,201410,None,,0,0,0,0,0.0,404,148,None,,0,2,1.5,None,0,0.00,0,0.00,0,0.00,0.00,0,0,Auston,0.0,51,24,0,0,0,0.0,416,149,27,False,0.0,414,149,0,,None,40,535,162,0,0,None,0,,201410.jpg,0.0,420,150,0,0,0,Trusty,0.2,393,152,False,None,0,0,a,1,3,0.0,388,146,0,0,0,0,0,0.0,0.0,Trusty,0
0,0,0,None,None,0,0,224068,None,,0,0,0,0,0.0,415,44,None,,0,1,1.5,None,0,0.00,0,0.00,0,0.00,0.00,0,0,Matt,0.0,62,34,0,0,0,0.0,427,54,28,False,0.0,425,54,0,,None,40,546,59,0,0,None,0,,224068.jpg,0.0,431,54,0,0,0,Turner,0.4,262,41,False,None,0,0,a,1,3,0.0,399,35,0,0,0,0,0,0.0,0.0,Turner,0
5,12,734,None,None,15,0.44,198869,None,,0,0,0,0,492.5,55,8,None,,0,2,3.1,None,0,3.60,0.11,4.85,0.15,1.25,37.23,1.1,0.04,Benjamin,0.0,478,189,35,1.03,2,130.8,73,8,29,False,655.4,57,16,3054,,None,55,109,10,0,0,None,0,,198869.jpg,4.1,41,5,0,0,0.0,White,10.1,42,13,False,None,36,1.06,a,1,3,159.0,167,31,156,0,0,0,0,0.0,28.4,White,5
8,15,634,0,None,13,0.39,84450,None,,0,0,0,0,675.5,32,26,2,,0,3,0.0,None,0,3.89,0.12,8.54,0.26,4.65,36.52,1.1,0.14,Granit,0.0,511,203,35,1.05,7,194.8,33,24,30,False,715.0,40,17,2992,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,60,57,34,0,0,None,0,,84450.jpg,4.1,43,20,0,0,0.0,Xhaka,0.5,247,80,False,None,36,1.08,u,1,3,556.0,47,32,153,0,0,0,0,0.0,25.5,Xhaka,4
2,8,500,None,None,10,0.42,206325,None,,0,0,0,0,387.7,82,14,None,,0,2,2.8,None,0,2.39,0.1,3.71,0.16,1.32,26.67,1.13,0.06,Oleksandr,0.0,390,178,28,1.19,1,98.3,119,25,31,False,405.0,143,53,2122,,None,50,221,26,0,0,None,0,,206325.jpg,3.7,73,19,0,0,0.0,Zinchenko,13.8,31,12,False,None,26,1.1,a,1,3,190.0,151,24,99,0,0,0,0,0.0,19.8,Zinchenko,3
